광역지자체 명,기초지자체 명,광역지자체 지출액 비율(%),기초지자체 지출액 비율(%)
강원특별자치도,강릉시,3.5,15.3
강원특별자치도,고성군,3.5,3.6
강원특별자치도,동해시,3.5,3.6
강원특별자치도,삼척시,3.5,3.7
강원특별자치도,속초시,3.5,11.3
강원특별자치도,양구군,3.5,0.5
강원특별자치도,양양군,3.5,4.3
강원특별자치도,영월군,3.5,1.9
강원특별자치도,원주시,3.5,15.1
강원특별자치도,인제군,3.5,2.1
강원특별자치도,정선군,3.5,2.6
강원특별자치도,철원군,3.5,1.4
강원특별자치도,춘천시,3.5,12.3
강원특별자치도,태백시,3.5,1.8
강원특별자치도,평창군,3.5,6.1
강원특별자치도,홍천군,3.5,9.0
강원특별자치도,화천군,3.5,0.7
강원특별자치도,횡성군,3.5,4.7
경기도,가평군,25.2,1.3
경기도,고양시,25.2,9.2
경기도,과천시,25.2,0.4
경기도,광명시,25.2,1.4
경기도,광주시,25.2,2.1
경기도,구리시,25.2,1.5
경기도,군포시,25.2,0.9
경기도,김포시,25.2,3.4
경기도,남양주시,25.2,3.6
경기도,동두천시,25.2,0.3
경기도,부천시,25.2,3.6
경기도,성남시,25.2,8.6
경기도,수원시,25.2,9.8
경기도,시흥시,25.2,3.4
경기도,안산시,25.2,4.0
경기도,안성시,25.2,2.8
경기도,안양시,25.2,3.9
경기도,양주시,25.2,1.5
경기도,양평군,25.2,1.0
경기도,여주시,25.2,2.6
경기도,연천군,25.2,0.2
경기도,오산시,25.2,1.2
경기도,용인시,25.2,8.9
경기도,의왕시,25.2,1.5
경기도,의정부시,25.2,2.5
경기도,이천시,25.2,2.6
경기도,파주시,25.2,3.4
경기도,평택시,25.2,3.3
경기도,포천시,25.2,1.8
경기도,하남시,25.2,3.9
경기도,화성시,25.2,5.2
경상남도,거제시,3.8,5.0
경상남도,거창군,3.8,1.3
경상남도,고성군,3.8,2.1
경상남도,김해시,3.8,17.2
경상남도,남해군,3.8,1.8
경상남도,밀양시,3.8,2.4
경상남도,사천시,3.8,4.8
경상남도,산청군,3.8,2.0
경상남도,양산시,3.8,9.6
경상남도,의령군,3.8,0.5
경상남도,진주시,3.8,6.1
경상남도,창녕군,3.8,3.5
경상남도,창원시,3.8,33.2
경상남도,통영시,3.8,3.5
경상남도,하동군,3.8,1.8
경상남도,함안군,3.8,3.5
경상남도,함양군,3.8,1.2
경상남도,합천군,3.8,0.9
경상북도,경산시,3.6,8.3
경상북도,경주시,3.6,16.8
경상북도,고령군,3.6,1.1
경상북도,구미시,3.6,9.7
경상북도,김천시,3.6,4.7
경상북도,문경시,3.6,4.0
경상북도,봉화군,3.6,0.7
경상북도,상주시,3.6,3.0
경상북도,성주군,3.6,3.4
경상북도,안동시,3.6,4.7
경상북도,영덕군,3.6,2.4
경상북도,영양군,3.6,0.2
경상북도,영주시,3.6,2.2
경상북도,영천시,3.6,4.6
경상북도,예천군,3.6,1.1
경상북도,울릉군,3.6,0.7
경상북도,울진군,3.6,1.8
경상북도,의성군,3.6,1.7
경상북도,청도군,3.6,2.3
경상북도,청송군,3.6,0.9
경상북도,칠곡군,3.6,9.5
경상북도,포항시,3.6,16.2
대구광역시,군위군,3.7,4.5
대구광역시,남구,3.7,3.1
대구광역시,달서구,3.7,11.9
대구광역시,달성군,3.7,6.3
대구광역시,동구,3.7,33.0
대구광역시,북구,3.7,11.4
대구광역시,서구,3.7,5.6
대구광역시,수성구,3.7,11.8
대구광역시,중구,3.7,12.4
대전광역시,대덕구,2.9,9.3
대전광역시,동구,2.9,25.7
대전광역시,서구,2.9,19.7
대전광역시,유성구,2.9,36.0
대전광역시,중구,2.9,9.4
부산광역시,강서구,6.0,7.3
부산광역시,금정구,6.0,3.2
부산광역시,기장군,6.0,9.7
부산광역시,남구,6.0,4.0
부산광역시,동구,6.0,3.3
부산광역시,동래구,6.0,4.4
부산광역시,부산진구,6.0,10.3
부산광역시,북구,6.0,10.2
부산광역시,사상구,6.0,4.5
부산광역시,사하구,6.0,2.7
부산광역시,서구,6.0,1.5
부산광역시,수영구,6.0,4.4
부산광역시,연제구,6.0,4.6
부산광역시,영도구,6.0,0.9
부산광역시,중구,6.0,3.8
부산광역시,해운대구,6.0,25.1
서울특별시,강남구,28.7,13.7
서울특별시,강동구,28.7,1.7
서울특별시,강북구,28.7,1.2
서울특별시,강서구,28.7,6.7
서울특별시,관악구,28.7,1.9
서울특별시,광진구,28.7,2.3
서울특별시,구로구,28.7,2.2
서울특별시,금천구,28.7,1.5
서울특별시,노원구,28.7,2.0
서울특별시,도봉구,28.7,1.1
서울특별시,동대문구,28.7,2.1
서울특별시,동작구,28.7,1.6
서울특별시,마포구,28.7,4.6
서울특별시,서대문구,28.7,1.9
서울특별시,서초구,28.7,10.6
서울특별시,성동구,28.7,2.5
서울특별시,성북구,28.7,1.5
서울특별시,송파구,28.7,6.9
서울특별시,양천구,28.7,2.0
서울특별시,영등포구,28.7,6.3
서울특별시,용산구,28.7,3.5
서울특별시,은평구,28.7,1.5
서울특별시,종로구,28.7,4.3
서울특별시,중구,28.7,15.4
서울특별시,중랑구,28.7,1.1
세종특별자치시,세종특별자치시,0.3,100.0
울산광역시,남구,1.5,40.0
울산광역시,동구,1.5,6.6
울산광역시,북구,1.5,17.0
울산광역시,울주군,1.5,26.2
울산광역시,중구,1.5,10.2
인천광역시,강화군,4.8,3.0
인천광역시,계양구,4.8,6.8
인천광역시,남동구,4.8,14.4
인천광역시,동구,4.8,3.7
인천광역시,미추홀구,4.8,11.9
인천광역시,부평구,4.8,11.2
인천광역시,서구,4.8,13.9
인천광역시,연수구,4.8,12.8
인천광역시,옹진군,4.8,0.8
인천광역시,중구,4.8,21.6
전남광주통합특별시,강진군,4.4,0.7
전남광주통합특별시,고흥군,4.4,1.0
전남광주통합특별시,곡성군,4.4,1.1
전남광주통합특별시,광산구,4.4,10.4
전남광주통합특별시,광양시,4.4,4.3
전남광주통합특별시,구례군,4.4,0.6
전남광주통합특별시,나주시,4.4,3.3
전남광주통합특별시,남구,4.4,3.4
전남광주통합특별시,담양군,4.4,2.3
전남광주통합특별시,동구,4.4,5.6
전남광주통합특별시,목포시,4.4,5.6
전남광주통합특별시,무안군,4.4,3.6
전남광주통합특별시,보성군,4.4,1.4
전남광주통합특별시,북구,4.4,8.0
전남광주통합특별시,서구,4.4,18.9
전남광주통합특별시,순천시,4.4,6.6
전남광주통합특별시,신안군,4.4,0.7
전남광주통합특별시,여수시,4.4,8.8
전남광주통합특별시,영광군,4.4,1.2
전남광주통합특별시,영암군,4.4,2.5
전남광주통합특별시,완도군,4.4,0.7
전남광주통합특별시,장성군,4.4,2.3
전남광주통합특별시,장흥군,4.4,0.8
전남광주통합특별시,진도군,4.4,0.9
전남광주통합특별시,함평군,4.4,2.0
전남광주통합특별시,해남군,4.4,1.4
전남광주통합특별시,화순군,4.4,2.0
전북특별자치도,고창군,2.1,4.0
전북특별자치도,군산시,2.1,12.9
전북특별자치도,김제시,2.1,5.1
전북특별자치도,남원시,2.1,3.7
전북특별자치도,무주군,2.1,2.3
전북특별자치도,부안군,2.1,4.0
전북특별자치도,순창군,2.1,1.4
전북특별자치도,완주군,2.1,8.9
전북특별자치도,익산시,2.1,11.0
전북특별자치도,임실군,2.1,3.7
전북특별자치도,장수군,2.1,1.0
전북특별자치도,전주시,2.1,36.5
전북특별자치도,정읍시,2.1,4.4
전북특별자치도,진안군,2.1,1.2
제주특별자치도,서귀포시,2.3,38.1
제주특별자치도,제주시,2.3,61.9
충청남도,계룡시,3.6,1.1
충청남도,공주시,3.6,7.7
충청남도,금산군,3.6,2.6
충청남도,논산시,3.6,5.0
충청남도,당진시,3.6,9.2
충청남도,보령시,3.6,4.9
충청남도,부여군,3.6,3.0
충청남도,서산시,3.6,6.0
충청남도,서천군,3.6,2.0
충청남도,아산시,3.6,12.3
충청남도,예산군,3.6,4.0
충청남도,천안시,3.6,33.5
충청남도,청양군,3.6,0.6
충청남도,태안군,3.6,5.0
충청남도,홍성군,3.6,3.2
충청북도,괴산군,3.6,2.7
충청북도,단양군,3.6,2.6
충청북도,보은군,3.6,1.6
충청북도,영동군,3.6,1.3
충청북도,옥천군,3.6,2.5
충청북도,음성군,3.6,8.8
충청북도,제천시,3.6,6.3
충청북도,증평군,3.6,2.5
충청북도,진천군,3.6,5.7
충청북도,청주시,3.6,55.3
충청북도,충주시,3.6,10.6
