광역지자체 명,기초지자체 명,광역지자체 지출액 비율(%),기초지자체 지출액 비율(%)
강원특별자치도,강릉시,3.2,15.1
강원특별자치도,고성군,3.2,3.1
강원특별자치도,동해시,3.2,3.9
강원특별자치도,삼척시,3.2,3.5
강원특별자치도,속초시,3.2,11.6
강원특별자치도,양구군,3.2,0.6
강원특별자치도,양양군,3.2,4.0
강원특별자치도,영월군,3.2,2.0
강원특별자치도,원주시,3.2,15.3
강원특별자치도,인제군,3.2,2.2
강원특별자치도,정선군,3.2,3.0
강원특별자치도,철원군,3.2,1.4
강원특별자치도,춘천시,3.2,12.0
강원특별자치도,태백시,3.2,1.9
강원특별자치도,평창군,3.2,6.3
강원특별자치도,홍천군,3.2,8.7
강원특별자치도,화천군,3.2,0.7
강원특별자치도,횡성군,3.2,4.9
경기도,가평군,24.4,1.2
경기도,고양시,24.4,9.1
경기도,과천시,24.4,0.5
경기도,광명시,24.4,1.4
경기도,광주시,24.4,2.1
경기도,구리시,24.4,1.6
경기도,군포시,24.4,0.9
경기도,김포시,24.4,3.4
경기도,남양주시,24.4,3.6
경기도,동두천시,24.4,0.3
경기도,부천시,24.4,4.7
경기도,성남시,24.4,9.1
경기도,수원시,24.4,9.8
경기도,시흥시,24.4,3.2
경기도,안산시,24.4,4.0
경기도,안성시,24.4,2.6
경기도,안양시,24.4,3.9
경기도,양주시,24.4,1.6
경기도,양평군,24.4,1.0
경기도,여주시,24.4,2.7
경기도,연천군,24.4,0.2
경기도,오산시,24.4,1.3
경기도,용인시,24.4,8.9
경기도,의왕시,24.4,1.4
경기도,의정부시,24.4,2.4
경기도,이천시,24.4,2.3
경기도,파주시,24.4,3.2
경기도,평택시,24.4,3.1
경기도,포천시,24.4,1.7
경기도,하남시,24.4,3.7
경기도,화성시,24.4,5.0
경상남도,거제시,3.6,4.8
경상남도,거창군,3.6,1.3
경상남도,고성군,3.6,2.1
경상남도,김해시,3.6,16.5
경상남도,남해군,3.6,1.6
경상남도,밀양시,3.6,2.5
경상남도,사천시,3.6,4.7
경상남도,산청군,3.6,2.0
경상남도,양산시,3.6,9.4
경상남도,의령군,3.6,0.5
경상남도,진주시,3.6,6.3
경상남도,창녕군,3.6,2.8
경상남도,창원시,3.6,34.3
경상남도,통영시,3.6,3.5
경상남도,하동군,3.6,1.6
경상남도,함안군,3.6,3.9
경상남도,함양군,3.6,1.3
경상남도,합천군,3.6,0.9
경상북도,경산시,3.4,8.3
경상북도,경주시,3.4,16.5
경상북도,고령군,3.4,1.1
경상북도,구미시,3.4,9.6
경상북도,김천시,3.4,4.7
경상북도,문경시,3.4,3.9
경상북도,봉화군,3.4,0.7
경상북도,상주시,3.4,2.8
경상북도,성주군,3.4,3.5
경상북도,안동시,3.4,5.0
경상북도,영덕군,3.4,2.4
경상북도,영양군,3.4,0.2
경상북도,영주시,3.4,2.2
경상북도,영천시,3.4,4.1
경상북도,예천군,3.4,1.1
경상북도,울릉군,3.4,0.7
경상북도,울진군,3.4,1.8
경상북도,의성군,3.4,1.7
경상북도,청도군,3.4,2.5
경상북도,청송군,3.4,1.0
경상북도,칠곡군,3.4,9.4
경상북도,포항시,3.4,17.0
대구광역시,군위군,3.8,3.9
대구광역시,남구,3.8,3.1
대구광역시,달서구,3.8,11.8
대구광역시,달성군,3.8,5.9
대구광역시,동구,3.8,30.7
대구광역시,북구,3.8,11.0
대구광역시,서구,3.8,5.7
대구광역시,수성구,3.8,11.9
대구광역시,중구,3.8,16.0
대전광역시,대덕구,3.1,9.5
대전광역시,동구,3.1,23.9
대전광역시,서구,3.1,19.4
대전광역시,유성구,3.1,35.8
대전광역시,중구,3.1,11.4
부산광역시,강서구,6.1,8.5
부산광역시,금정구,6.1,3.1
부산광역시,기장군,6.1,9.7
부산광역시,남구,6.1,3.9
부산광역시,동구,6.1,3.6
부산광역시,동래구,6.1,4.8
부산광역시,부산진구,6.1,10.1
부산광역시,북구,6.1,10.3
부산광역시,사상구,6.1,4.5
부산광역시,사하구,6.1,2.7
부산광역시,서구,6.1,1.5
부산광역시,수영구,6.1,4.5
부산광역시,연제구,6.1,4.7
부산광역시,영도구,6.1,1.0
부산광역시,중구,6.1,4.1
부산광역시,해운대구,6.1,23.1
서울특별시,강남구,30.1,12.5
서울특별시,강동구,30.1,1.7
서울특별시,강북구,30.1,1.1
서울특별시,강서구,30.1,9.6
서울특별시,관악구,30.1,1.7
서울특별시,광진구,30.1,2.2
서울특별시,구로구,30.1,2.4
서울특별시,금천구,30.1,1.4
서울특별시,노원구,30.1,1.9
서울특별시,도봉구,30.1,1.0
서울특별시,동대문구,30.1,2.0
서울특별시,동작구,30.1,1.5
서울특별시,마포구,30.1,4.4
서울특별시,서대문구,30.1,1.8
서울특별시,서초구,30.1,10.3
서울특별시,성동구,30.1,2.3
서울특별시,성북구,30.1,1.5
서울특별시,송파구,30.1,6.6
서울특별시,양천구,30.1,1.8
서울특별시,영등포구,30.1,6.1
서울특별시,용산구,30.1,3.5
서울특별시,은평구,30.1,1.4
서울특별시,종로구,30.1,4.7
서울특별시,중구,30.1,15.6
서울특별시,중랑구,30.1,1.1
세종특별자치시,세종특별자치시,0.3,100.0
울산광역시,남구,1.5,40.0
울산광역시,동구,1.5,6.5
울산광역시,북구,1.5,16.7
울산광역시,울주군,1.5,25.9
울산광역시,중구,1.5,10.9
인천광역시,강화군,5.4,2.7
인천광역시,계양구,5.4,6.0
인천광역시,남동구,5.4,12.7
인천광역시,동구,5.4,3.1
인천광역시,미추홀구,5.4,10.4
인천광역시,부평구,5.4,10.8
인천광역시,서구,5.4,12.6
인천광역시,연수구,5.4,12.4
인천광역시,옹진군,5.4,0.7
인천광역시,중구,5.4,28.6
전남광주통합특별시,강진군,4.3,0.7
전남광주통합특별시,고흥군,4.3,0.9
전남광주통합특별시,곡성군,4.3,1.1
전남광주통합특별시,광산구,4.3,10.6
전남광주통합특별시,광양시,4.3,4.1
전남광주통합특별시,구례군,4.3,0.7
전남광주통합특별시,나주시,4.3,3.5
전남광주통합특별시,남구,4.3,3.3
전남광주통합특별시,담양군,4.3,2.4
전남광주통합특별시,동구,4.3,5.6
전남광주통합특별시,목포시,4.3,6.0
전남광주통합특별시,무안군,4.3,3.5
전남광주통합특별시,보성군,4.3,1.3
전남광주통합특별시,북구,4.3,8.5
전남광주통합특별시,서구,4.3,19.0
전남광주통합특별시,순천시,4.3,6.4
전남광주통합특별시,신안군,4.3,0.6
전남광주통합특별시,여수시,4.3,8.2
전남광주통합특별시,영광군,4.3,1.1
전남광주통합특별시,영암군,4.3,2.1
전남광주통합특별시,완도군,4.3,0.7
전남광주통합특별시,장성군,4.3,2.5
전남광주통합특별시,장흥군,4.3,0.8
전남광주통합특별시,진도군,4.3,0.7
전남광주통합특별시,함평군,4.3,2.0
전남광주통합특별시,해남군,4.3,1.3
전남광주통합특별시,화순군,4.3,2.1
전북특별자치도,고창군,2.1,3.6
전북특별자치도,군산시,2.1,15.9
전북특별자치도,김제시,2.1,5.2
전북특별자치도,남원시,2.1,4.8
전북특별자치도,무주군,2.1,2.4
전북특별자치도,부안군,2.1,4.2
전북특별자치도,순창군,2.1,1.1
전북특별자치도,완주군,2.1,8.3
전북특별자치도,익산시,2.1,10.4
전북특별자치도,임실군,2.1,3.1
전북특별자치도,장수군,2.1,1.1
전북특별자치도,전주시,2.1,34.2
전북특별자치도,정읍시,2.1,4.4
전북특별자치도,진안군,2.1,1.3
제주특별자치도,서귀포시,1.9,33.9
제주특별자치도,제주시,1.9,66.1
충청남도,계룡시,3.5,1.1
충청남도,공주시,3.5,7.6
충청남도,금산군,3.5,2.5
충청남도,논산시,3.5,4.9
충청남도,당진시,3.5,9.2
충청남도,보령시,3.5,4.5
충청남도,부여군,3.5,3.0
충청남도,서산시,3.5,5.9
충청남도,서천군,3.5,1.9
충청남도,아산시,3.5,12.5
충청남도,예산군,3.5,4.4
충청남도,천안시,3.5,33.7
충청남도,청양군,3.5,0.6
충청남도,태안군,3.5,4.7
충청남도,홍성군,3.5,3.4
충청북도,괴산군,3.5,2.6
충청북도,단양군,3.5,2.5
충청북도,보은군,3.5,1.5
충청북도,영동군,3.5,1.3
충청북도,옥천군,3.5,2.6
충청북도,음성군,3.5,8.7
충청북도,제천시,3.5,6.3
충청북도,증평군,3.5,2.2
충청북도,진천군,3.5,5.6
충청북도,청주시,3.5,56.4
충청북도,충주시,3.5,10.4
