광역지자체 명,기초지자체 명,광역지자체 지출액 비율(%),기초지자체 지출액 비율(%)
강원특별자치도,강릉시,3.3,15.7
강원특별자치도,고성군,3.3,3.3
강원특별자치도,동해시,3.3,4.0
강원특별자치도,삼척시,3.3,3.9
강원특별자치도,속초시,3.3,11.2
강원특별자치도,양구군,3.3,0.7
강원특별자치도,양양군,3.3,4.2
강원특별자치도,영월군,3.3,1.8
강원특별자치도,원주시,3.3,15.0
강원특별자치도,인제군,3.3,2.4
강원특별자치도,정선군,3.3,2.2
강원특별자치도,철원군,3.3,1.4
강원특별자치도,춘천시,3.3,12.4
강원특별자치도,태백시,3.3,2.0
강원특별자치도,평창군,3.3,6.3
강원특별자치도,홍천군,3.3,8.2
강원특별자치도,화천군,3.3,1.0
강원특별자치도,횡성군,3.3,4.5
경기도,가평군,25.3,1.2
경기도,고양시,25.3,9.5
경기도,과천시,25.3,0.3
경기도,광명시,25.3,1.5
경기도,광주시,25.3,2.3
경기도,구리시,25.3,1.6
경기도,군포시,25.3,0.9
경기도,김포시,25.3,3.4
경기도,남양주시,25.3,3.2
경기도,동두천시,25.3,0.4
경기도,부천시,25.3,4.0
경기도,성남시,25.3,9.6
경기도,수원시,25.3,10.1
경기도,시흥시,25.3,3.4
경기도,안산시,25.3,4.3
경기도,안성시,25.3,2.3
경기도,안양시,25.3,4.1
경기도,양주시,25.3,1.4
경기도,양평군,25.3,1.0
경기도,여주시,25.3,2.6
경기도,연천군,25.3,0.2
경기도,오산시,25.3,1.3
경기도,용인시,25.3,8.4
경기도,의왕시,25.3,1.1
경기도,의정부시,25.3,2.5
경기도,이천시,25.3,2.5
경기도,파주시,25.3,3.5
경기도,평택시,25.3,3.1
경기도,포천시,25.3,1.7
경기도,하남시,25.3,3.6
경기도,화성시,25.3,5.1
경상남도,거제시,3.9,5.2
경상남도,거창군,3.9,1.1
경상남도,고성군,3.9,1.7
경상남도,김해시,3.9,16.2
경상남도,남해군,3.9,1.7
경상남도,밀양시,3.9,2.2
경상남도,사천시,3.9,4.6
경상남도,산청군,3.9,1.7
경상남도,양산시,3.9,10.1
경상남도,의령군,3.9,0.6
경상남도,진주시,3.9,6.4
경상남도,창녕군,3.9,3.3
경상남도,창원시,3.9,35.2
경상남도,통영시,3.9,3.5
경상남도,하동군,3.9,1.4
경상남도,함안군,3.9,3.3
경상남도,함양군,3.9,1.0
경상남도,합천군,3.9,0.9
경상북도,경산시,3.4,9.2
경상북도,경주시,3.4,14.4
경상북도,고령군,3.4,1.0
경상북도,구미시,3.4,10.8
경상북도,김천시,3.4,5.0
경상북도,문경시,3.4,3.8
경상북도,봉화군,3.4,0.7
경상북도,상주시,3.4,3.0
경상북도,성주군,3.4,3.9
경상북도,안동시,3.4,4.8
경상북도,영덕군,3.4,2.5
경상북도,영양군,3.4,0.3
경상북도,영주시,3.4,2.4
경상북도,영천시,3.4,4.1
경상북도,예천군,3.4,1.2
경상북도,울릉군,3.4,0.4
경상북도,울진군,3.4,1.9
경상북도,의성군,3.4,1.5
경상북도,청도군,3.4,2.2
경상북도,청송군,3.4,0.9
경상북도,칠곡군,3.4,9.0
경상북도,포항시,3.4,17.0
대구광역시,군위군,3.4,3.3
대구광역시,남구,3.4,3.4
대구광역시,달서구,3.4,13.9
대구광역시,달성군,3.4,6.4
대구광역시,동구,3.4,26.7
대구광역시,북구,3.4,13.3
대구광역시,서구,3.4,6.0
대구광역시,수성구,3.4,13.2
대구광역시,중구,3.4,13.8
대전광역시,대덕구,2.9,9.6
대전광역시,동구,2.9,31.4
대전광역시,서구,2.9,24.6
대전광역시,유성구,2.9,23.6
대전광역시,중구,2.9,10.8
부산광역시,강서구,6.0,5.8
부산광역시,금정구,6.0,3.6
부산광역시,기장군,6.0,9.5
부산광역시,남구,6.0,4.2
부산광역시,동구,6.0,3.3
부산광역시,동래구,6.0,5.1
부산광역시,부산진구,6.0,11.5
부산광역시,북구,6.0,12.2
부산광역시,사상구,6.0,5.0
부산광역시,사하구,6.0,2.8
부산광역시,서구,6.0,1.6
부산광역시,수영구,6.0,4.1
부산광역시,연제구,6.0,4.9
부산광역시,영도구,6.0,0.9
부산광역시,중구,6.0,4.3
부산광역시,해운대구,6.0,21.4
서울특별시,강남구,29.5,13.9
서울특별시,강동구,29.5,1.9
서울특별시,강북구,29.5,1.3
서울특별시,강서구,29.5,5.9
서울특별시,관악구,29.5,2.1
서울특별시,광진구,29.5,2.4
서울특별시,구로구,29.5,2.3
서울특별시,금천구,29.5,1.7
서울특별시,노원구,29.5,2.2
서울특별시,도봉구,29.5,1.1
서울특별시,동대문구,29.5,2.3
서울특별시,동작구,29.5,1.8
서울특별시,마포구,29.5,4.4
서울특별시,서대문구,29.5,2.0
서울특별시,서초구,29.5,9.7
서울특별시,성동구,29.5,2.3
서울특별시,성북구,29.5,1.6
서울특별시,송파구,29.5,6.4
서울특별시,양천구,29.5,2.2
서울특별시,영등포구,29.5,5.3
서울특별시,용산구,29.5,2.9
서울특별시,은평구,29.5,1.7
서울특별시,종로구,29.5,3.8
서울특별시,중구,29.5,17.5
